Sigla do Cliente;Nome do cliente;Código do cliente;SE;Número do contrato;Status do contrato no ERP;CNPJ do Cliente;CDIP de Abrangência;e-Carta Integração;Armazenamento;Prazo de Armazenamento;Status do contrato no SGD;Fragmentação
GOZ;SEFAZ GO;8574;SUPERINTENDENCIA ESTADUAL GO  ;9912268445;Ativo;01409655000180;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PFZ;SEFAZ PE;6139;SUPERINTENDENCIA ESTADUAL PE  ;9912326139;Ativo;10572014000133;CDIP - Curitiba;Sim;Sim;180;Ativo;Não
RXM;SEFAZ RS;6005;SUPERINTENDENCIA ESTADUAL RS  ;9912515674;Ativo;87958674000181;Desativado - CDIP/FLN2;Não;Não;0;Ativo;Não
TOZ;SEFAZ TO;5780;SUPERINTENDENCIA ESTADUAL TO  ;9912565780;Ativo;25043514000155;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
PRS;SEJUF;1700;SUPERINTENDENCIA ESTADUAL PR  ;9912591700;Ativo;40245920000194;CDIP - Curitiba;Não;Não;30;Ativo;Não
RXH;SEMA;6257;SUPERINTENDENCIA ESTADUAL RS  ;9912316257;Ativo;03330683000133;Desativado - CDIP/FLN2;Sim;Não;0;Ativo;Sim
MTS;SEMA;7599;SUPERINTENDENCIA ESTADUAL MT  ;9912287599;Ativo;56085410000137;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
MTE;SEMA;7590;SUPERINTENDENCIA ESTADUAL MT  ;9912287599;Ativo;56085410000137;Desativado CDIP/BSB2;Sim;Sim;0;Ativo;Sim
PAR;SEMAS PA;7862;SUPERINTENDENCIA ESTADUAL PA  ;9912397862;Ativo;34921783000168;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
AMS;SEMEF;3835;SUPERINTENDENCIA ESTADUAL AM  ;9912513835;Ativo;04312658000190;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
PAY;SEMMA BELEM PA;8066;SUPERINTENDENCIA ESTADUAL PA  ;9912398066;Ativo;05544392000173;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
PR;SERPRO SEDE;9160;SUPERINTENDENCIA ESTADUAL BSB ;9912469160;Ativo;33683111000107;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PFM;SERUR CAMARA MAC DOWELL MEIRA LINS MO;1256;SUPERINTENDENCIA ESTADUAL PE  ;9912271256;Ativo;03003646000110;CDIP/FLN3;Não;Sim;30;Ativo;Não
RJK;SERV DE VETER E PENSIONISTAS DA MARINHA;5376;SUPERINTENDENCIA ESTADUAL RJ  ;9912515376;Ativo;00394502041096;Desativado - CDIP/SPM3;Sim;Não;180;Ativo;Não
RNM;SESDEM MOSSORO;2831;SUPERINTENDENCIA ESTADUAL RN  ;9912624915;Ativo;44647538000168;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
RJQ;SETRANS MUNICIPIO DE MESQUITA;8544;SUPERINTENDENCIA ESTADUAL RJ  ;9912448543;Cancelado;04132090000125;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
SRA;SE7I SOLUCOES ESPECIAIS EM TECNOLOGIA DA;5471;SUPERINTENDENCIA ESTADUAL SPI ;9912545471;Ativo;42507835000182;Desativado - CDIP/SPM3;Sim;Sim;90;Ativo;Não
YX;SICOOB CASCAVEL;7874;SUPERINTENDENCIA ESTADUAL PR  ;9912347874;Ativo;04529074000170;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
SSM;SICOOB CONEXAO;1055;SUPERINTENDENCIA ESTADUAL ES  ;9912361055;Ativo;32430233000110;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
GOX;SICOOB EMPRECRED;5284;SUPERINTENDENCIA ESTADUAL GO  ;9912525284;Ativo;07502031000190;Desativado CDIP/BSB2;Sim;Não;30;Ativo;Sim
PZD;SICOOB SUL PZD;7964;SUPERINTENDENCIA ESTADUAL PR  ;9912547964;Ativo;05888589000120;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
SVS;SICOOB VALE SUL-PR - SVS;3493;SUPERINTENDENCIA ESTADUAL PR  ;9912513493;Ativo;02466552000115;CDIP - Curitiba;Sim;Sim;180;Ativo;Não
RXQ;SICREDI EVOLUÇÃO;7734;SUPERINTENDENCIA ESTADUAL RS  ;9912327734;Ativo;03795072000160;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
RSG;SILVEIRA OLIVEIRA ADVOGADOS ASSOCIADOS S;7867;SUPERINTENDENCIA ESTADUAL RS  ;9912537867;Suspenso;17655474000174;Desativado - CDIP/FLN2;Não;Sim;30;Ativo;Não
KV;SIN SISTEMA DE IMPLANTE NACIONAL S A;8708;SUPERINTENDENCIA ESTADUAL SPM ;9912348708;Ativo;04298106000174;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
ESC;SIRI COMERCIO E SERVICOS LTDA ME;4774;SUPERINTENDENCIA ESTADUAL ES  ;9912324773;Ativo;04904042000299;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SPQ;SIRONA DENTAL COM PROD SIST ODONTO LTDA;3836;SUPERINTENDENCIA ESTADUAL SPM ;9912283836;Ativo;12483930000203;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
SXJ;SKINSTORE S.A;3928;SUPERINTENDENCIA ESTADUAL SPM ;9912543928;Ativo;12979552000172;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SSC;SMC AUTOMACAO DO BRASIL LTDA;4517;SUPERINTENDENCIA ESTADUAL SPM ;9912334517;Ativo;02545405000130;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
RKB;SMF - Rio de Janeiro;9009;SUPERINTENDENCIA ESTADUAL RJ  ;9912676800;Ativo;29468014000116;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SRL;SMPR;298;SUPERINTENDENCIA ESTADUAL SPM ;9912610297;Ativo;49269236000117;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
PC;SMT - Caldas Novas Prefeitura;19;SUPERINTENDENCIA ESTADUAL GO  ;9912447836;Ativo;01787506000155;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
GOH;SMT - ITUMBIARA - GO;5103;SUPERINTENDENCIA ESTADUAL GO  ;9912455103;Ativo;05122224000190;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
OS;SMT - Municipio de Valparaiso de Goiás;473;SUPERINTENDENCIA ESTADUAL GO  ;9912546997;Cancelado;01616319000109;Desativado CDIP/BSB2;Não;Não;;Cancelado;Não
SH;SMT - SUPERINT MUNICIPAL DE TRÂNSITO;1418;SUPERINTENDENCIA ESTADUAL BA  ;9912561849;Ativo;02983473000181;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
GPB;SMT BELA VISTA GO;7955;SUPERINTENDENCIA ESTADUAL GO  ;9912637955;Cancelado;23318150000143;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
LB;SMT CERES GOIÁS;156;SUPERINTENDENCIA ESTADUAL GO  ;9912525893;Ativo;01131713000157;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
XC;SMT Cidade Ocidental;726;SUPERINTENDENCIA ESTADUAL GO  ;9912518434;Cancelado;36862621000121;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
ZT;SMT Cristalina - Goiás;9347;SUPERINTENDENCIA ESTADUAL GO  ;9912541208;Ativo;11501190000147;Desativado CDIP/BSB2;Não;Não;;Ativo;Não
MAG;SMTT;4119;SUPERINTENDENCIA ESTADUAL MA  ;9912504119;Ativo;73772147000173;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
TI;SMTT - ITABAIANA;1959;SUPERINTENDENCIA ESTADUAL SE  ;9912593932;Ativo;07734057000163;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
OF;SMTT - ITABAININHA;4115;SUPERINTENDENCIA ESTADUAL SE  ;9912559322;Ativo;12755884000173;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
NS;SMTT - Nossa Senhora do Socorro;9089;SUPERINTENDENCIA ESTADUAL SE  ;9912408401;Ativo;03598106000127;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Não
HE;SMTT/ARACAJU/SE;9912;SUPERINTENDENCIA ESTADUAL SE  ;9912342397;Ativo;13366927000191;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
CFB;SOLUCAO DOCUMENTAL;3568;SUPERINTENDENCIA ESTADUAL CE  ;9912433567;Ativo;27627463000134;CDIP - Curitiba;Sim;Não;0;Ativo;Não
SO;SOLUCAO DOCUMENTAL LTDA;3567;SUPERINTENDENCIA ESTADUAL CE  ;9912433567;Ativo;27627463000134;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
MTK;SOLUTION PROCESS;292;SUPERINTENDENCIA ESTADUAL MG  ;9912270291;Ativo;11208992000163;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
EB;SOLUTION PROCESS TECNOLOGIA CORPORATIVA;291;SUPERINTENDENCIA ESTADUAL MG  ;9912270291;Ativo;11208992000163;CDIP - Curitiba;Não;Não;0;Ativo;Não
SUC;SOMA ANALISE DE CREDITOS E COBRANCAS LTD;8517;SUPERINTENDENCIA ESTADUAL SPI ;9912478517;Ativo;35073002000195;CDIP/SPM4;Sim;Sim;60;Ativo;Sim
SZO;SP POSTSERVICE IMPRESSÃO COBR. LTDA ME;565;SUPERINTENDENCIA ESTADUAL SPM ;9912340565;Ativo;05420605000155;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
AH;SP TJ;499;SUPERINTENDENCIA ESTADUAL SPM ;9912260497;Ativo;51174001000193;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
TS;SP TJ;498;SUPERINTENDENCIA ESTADUAL SPM ;9912260497;Ativo;51174001000193;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SRK;SP TJ - Tribunal de Justiça;500;SUPERINTENDENCIA ESTADUAL SPM ;9912260497;Ativo;51174001000193;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
SPB;(SPB-6823) SANTANDER BEN;6823;SUPERINTENDENCIA ESTADUAL SPM ;9912226822;Ativo;90400888000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SPD;(SPD-8783) CONSELHO DE ARQ E URB DE SP;8783;SUPERINTENDENCIA ESTADUAL SPM ;9912625825;Ativo;15131560000152;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Sim
SPI;(SPI-8103) IFM ELECTRONIC LTDA;8103;SUPERINTENDENCIA ESTADUAL SPM ;9912308103;Ativo;02263430000121;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Sim
SPK;(SPK-8302) CENTRO DE ESTUDOS CDT;8302;SUPERINTENDENCIA ESTADUAL SPM ;9912338302;Ativo;04742191000118;Desativado - CDIP/SPM3;Não;Sim;0;Ativo;Não
SPN;(SPN-4120) ITW FEG DO BRASIL IND. E COM.;4120;SUPERINTENDENCIA ESTADUAL SPM ;9912414120;Ativo;75118992000821;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
YL;SPRF-SP;1756;SUPERINTENDENCIA ESTADUAL SPM ;9912421756;Ativo;00394494011251;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
SPS;(SPS-0211)SERASA S/A;211;SUPERINTENDENCIA ESTADUAL SPM ;9912320209;Ativo;62173620000180;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SPV;(SPV-8784) CONSELHO DE ARQ E URB DE SP;8784;SUPERINTENDENCIA ESTADUAL SPM ;9912625825;Ativo;15131560000152;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
SPZ;(SPZ-1899)CONSELHO DE ARQ E URB DE SP;1899;SUPERINTENDENCIA ESTADUAL SPM ;9912633146;Ativo;15131560000152;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
AMO;STONE ATIVOS;531;SUPERINTENDENCIA ESTADUAL BSB ;9912533327;Ativo;18404899000173;Desativado CDIP/BSB2;Sim;Não;30;Ativo;Sim
SRX;STONE LOGISTICA LTDA;2178;SUPERINTENDENCIA ESTADUAL SPM ;9912492178;Ativo;16810540000170;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
LA;SUL AMÉRICA COMPANHIA DE SEGURO SAÚDE;1335;SUPERINTENDENCIA ESTADUAL RJ  ;9912341335;Ativo;01685053000156;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
BAN;SUMTRAN;9746;SUPERINTENDENCIA ESTADUAL BA  ;9912639746;Ativo;23982047000101;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
SQG;SUMUP;1579;SUPERINTENDENCIA ESTADUAL SPM ;9912331579;Ativo;16668076000120;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
CI;SUP D TRANSITO E MOBILIDADE DE IRECE STM;4032;SUPERINTENDENCIA ESTADUAL BA  ;9912469148;Ativo;27723704000149;Desativado CDIP/BSB2;Não;Não;0;Ativo;Não
PRU;SUP. MIN FAZENDA NO PR;8993;SUPERINTENDENCIA ESTADUAL PR  ;9912248993;;00394460001628;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
GY;SUP REG DA POLICIA RODOVIARIA EM GOIAS;4242;SUPERINTENDENCIA ESTADUAL GO  ;9912513866;Ativo;00394494011685;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
PRH;SUP REG DA RECEITA FED DO BRASIL 9 RF;677;SUPERINTENDENCIA ESTADUAL PR  ;9912719567;Ativo;00394460013553;CDIP - Curitiba;Não;Sim;180;Ativo;Sim
BAI;SUP REG DE ADM DO MGISP BAHIA;475;SUPERINTENDENCIA ESTADUAL BA  ;9912590475;Ativo;00489828012161;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
CEM;SUP REG DE ADM DO MGISP CEARA;1441;SUPERINTENDENCIA ESTADUAL CE  ;9912561441;Ativo;00489828010541;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
CEX;SUP REG DE ADM DO MGISP CEARA;6144;SUPERINTENDENCIA ESTADUAL CE  ;9912561441;Ativo;00489828010541;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
KE;SUPER. REG. POL RODOV. FED. ESP. SANTO;5524;SUPERINTENDENCIA ESTADUAL ES  ;9912530212;Ativo;00394494012142;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
MT;SUPERINT. ADM. MINISTÉRIO DA FAZENDA/DF;9880;SUPERINTENDENCIA ESTADUAL BSB ;9912503765;Ativo;00394460021653;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PID;SUPERINT DE ADM DO MIN DA FAZ NO PIAUI;1309;SUPERINTENDENCIA ESTADUAL PI  ;9912341309;;00394460001970;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
IU;Superint Mun Transito de Itumbiara;23;SUPERINTENDENCIA ESTADUAL GO  ;9912455103;Ativo;05122224000190;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
TOT;SUPERINT REG D ADM DO MGT GO E TOCANTINS;6147;SUPERINTENDENCIA ESTADUAL TO  ;9912476147;Cancelado;00489828010207;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PZY;SUPERINT REG DA POL RODOV FEDERAL PR;6354;SUPERINTENDENCIA ESTADUAL PR  ;9912256353;Ativo;00394494011332;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
SYI;SUPERINT REG DO TRAB E EMP SP SERT SP;2201;SUPERINTENDENCIA ESTADUAL SPM ;9912322201;Ativo;37115367003003;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
SCR;SUPERINT REG POL ROD FED SANTA CATARINA;8196;SUPERINTENDENCIA ESTADUAL SC  ;9912288196;Ativo;00394494012061;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
MIR;SUPERINTE REGIONAL RFB 6A REGIAO FISCAL;4964;SUPERINTENDENCIA ESTADUAL MG  ;9912344669;Ativo;00394460009602;CDIP - Curitiba;Não;Não;0;Ativo;Sim
MTR;SUPERINTEN REG DA POL RODOV FED EM MT;4563;SUPERINTENDENCIA ESTADUAL MT  ;9912524563;Ativo;00394494011502;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
ALE;SUPERINTEND DE ADMINIST DO MF EM ALAGOAS;2223;SUPERINTENDENCIA ESTADUAL AL  ;9912382223;;00394460000494;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
RJH;SUPERINTEND DE POLICIA ROD FEDERAL RJ;8734;SUPERINTENDENCIA ESTADUAL RJ  ;9912358734;Ativo;00394494011170;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
CT;Superintend. Mun. Trânsito de Catalão;18;SUPERINTENDENCIA ESTADUAL GO  ;9912603874;Cancelado;03587439000150;Desativado CDIP/BSB2;Sim;Sim;180;Ativo;Não
UC;Superintend Munic de Transito de Uruaçu;589;SUPERINTENDENCIA ESTADUAL GO  ;9912415355;Suspenso;01219807000182;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
ESH;SUPERINTENDENCIA ADMINISTRACAO DO MF ES;5903;SUPERINTENDENCIA ESTADUAL ES  ;9912345903;;00394460000907;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
MGT;SUPERINTENDENCIA ADMINISTRACAO DO MF MG;2985;SUPERINTENDENCIA ESTADUAL MG  ;9912462985;Ativo;00489828012080;CDIP - Curitiba;Sim;Sim;30;Ativo;Não
PAS;SUPERINTENDENCIA ADMINISTRACAO DO MF PA;7668;SUPERINTENDENCIA ESTADUAL PA  ;9912529496;;00394460001547;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
GOS;SUPERINTENDENCIA ADMINISTRACAO MF GOTO;7837;SUPERINTENDENCIA ESTADUAL GO  ;9912407837;;00394460001032;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PEP;SUPERINTENDENCIA DAL MINISTERIO ECO PE;3629;SUPERINTENDENCIA ESTADUAL PE  ;9912293629;Ativo;00489828011351;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Sim
RRS;SUPERINTENDENCIA DE ADM DO MF EM RORAIMA;8289;SUPERINTENDENCIA ESTADUAL RR  ;9912538289;;00394460042650;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PBI;SUPERINTENDENCIA DE ADM DO MF NA PARAIBA;2095;SUPERINTENDENCIA ESTADUAL PB  ;9912522095;;00394460001709;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
RXB;SUPERINTENDENCIA DE ADM DO MIN FAZENDA;2993;SUPERINTENDENCIA ESTADUAL RS  ;9912312993;;00394460002195;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Não
ACT;SUPERINTENDENCIA DE ADMIN DO MF NO ACRE;8407;SUPERINTENDENCIA ESTADUAL ACR ;9912578407;;00394460042812;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
SCZ;SUPERINTENDENCIA DE ADMIN DO MF SC;3635;SUPERINTENDENCIA ESTADUAL SC  ;9912473635;;00394460002357;Desativado - CDIP/FLN2;Sim;Sim;30;Ativo;Não
RJY;SUPERINTENDENCIA DE ADMINISTRACAO MF RJ;7058;SUPERINTENDENCIA ESTADUAL RJ  ;9912477058;Cancelado;00489828011866;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
RXD;SUPERINTENDENCIA DO INMETRO NO EST RS;5053;SUPERINTENDENCIA ESTADUAL RS  ;9912250539;Ativo;00662270000915;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
PL;SUPERINTENDENCIA MUN. DE TRANSITO;74;SUPERINTENDENCIA ESTADUAL PR  ;9912367794;Ativo;76017458000115;CDIP - Curitiba;Não;Sim;180;Ativo;Não
RS;SUPERINTENDENCIA MUNIC TRANSP E TRANSITO;552;SUPERINTENDENCIA ESTADUAL SE  ;9912578117;Ativo;04958714000168;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
RU;Superintendência Municipal de Trânsito R;9;SUPERINTENDENCIA ESTADUAL GO  ;9912519884;Ativo;05054206000118;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Sim
ACA;SUPERINTENDÊNCIA MUNICIPAL DE TRANSPORTE;2363;SUPERINTENDENCIA ESTADUAL ACR ;9912609338;Ativo;05139657000158;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PER;SUPERINTENDENCIA REG DA RFB NA 4A RF;2994;SUPERINTENDENCIA ESTADUAL PE  ;9912482994;Ativo;00394460008398;Desativado - CDIP/FLN2;Não;Sim;30;Ativo;Não
APS;SUPERINTENDÊNCIA REG. DE ADMINISTRAÇÃO D;5144;SUPERINTENDENCIA ESTADUAL AP  ;9912617528;Ativo;00489828008563;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Sim
PEZ;SUPERINTENDENCIA REG. NO ESTADO PE DNIT;6160;SUPERINTENDENCIA ESTADUAL PE  ;9912296160;Ativo;04892707002154;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
PAB;SUPERINTENDENCIA REG RFB 2 RF;9908;SUPERINTENDENCIA ESTADUAL PA  ;9912699908;Ativo;00394460007073;CDIP - Curitiba;Não;Sim;30;Ativo;Não
CER;SUPERINTENDÊNCIA REGIONAL DA RFB DA 3 RF;2101;SUPERINTENDENCIA ESTADUAL CE  ;9912322101;Ativo;00394460007820;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
RKA;SUPERINTENDENCIA REGIONAL DA RFB 10A RF;1800;SUPERINTENDENCIA ESTADUAL RS  ;9912280018;Ativo;00394460014797;Desativado - CDIP/FLN2;Não;Sim;30;Ativo;Não
RKF;SUPERINTENDENCIA REGIONAL DA RFB 10A RF;1801;SUPERINTENDENCIA ESTADUAL RS  ;9912280018;Ativo;00394460014797;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Não
FY;SUPERINTENDENCIA REGIONAL DA RFB 10A RF;2818;SUPERINTENDENCIA ESTADUAL RS  ;9912280018;Ativo;00394460014797;Desativado - CDIP/FLN2;Não;Sim;30;Ativo;Não
LC;SUP.MUN.DE TRANSPORTES E TRÂNSITO-STRANS;2629;SUPERINTENDENCIA ESTADUAL PI  ;9912545844;Cancelado;02318116000107;Desativado - CDIP/SPM3;Não;Não;180;Cancelado;Não
BAV;SUTRAM;2296;SUPERINTENDENCIA ESTADUAL BA  ;9912562296;Ativo;32608233000168;Desativado CDIP/BSB2;Não;Sim;180;Ativo;Não
AQ;SUTRAN – FLORIANO/PI;8682;SUPERINTENDENCIA ESTADUAL PI  ;9912556192;Ativo;07789413000146;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
SZU;SW COLOR GRAF ED LTDA;1145;SUPERINTENDENCIA ESTADUAL SPM ;9912371145;Ativo;08059250000109;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SXD;(SXD-8748)JSL S/A;8748;SUPERINTENDENCIA ESTADUAL SPM ;9912298748;Cancelado;52548435000179;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SYF;(SYF-3873) CRMV SP;3873;SUPERINTENDENCIA ESTADUAL SPM ;9912283873;Ativo;50052885000140;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
SYK;(SYK-3748) - SEFAZ/SP;3748;SUPERINTENDENCIA ESTADUAL SPM ;9912323748;Ativo;46377222010353;Desativado - CDIP/SPM3;Não;Não;180;Ativo;Não
SYL;(SYL-3749) - SEFAZ/SP;3749;SUPERINTENDENCIA ESTADUAL SPM ;9912323748;Ativo;46377222010353;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SYN;(SYN-8785) CAU.SP;8785;SUPERINTENDENCIA ESTADUAL SPM ;9912448783;Cancelado;15131560000152;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Sim
OQ;SYRNA SERVICOS DE CONSULTORIA E ASSESSOR;5755;SUPERINTENDENCIA ESTADUAL SPM ;9912425755;Cancelado;20077068000186;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
SZV;(SZV-2148) TRF 3 REGIÃO;2148;SUPERINTENDENCIA ESTADUAL SPM ;9912342148;Ativo;59949362000176;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
TOM;TAEGUTOOLS MAQUINAS E FERRAMENTAS;5676;SUPERINTENDENCIA ESTADUAL SPI ;9912365676;Ativo;05929891000189;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
LK;TALENTECH TECNOLOGIA LTDA;4789;SUPERINTENDENCIA ESTADUAL RJ  ;9912324789;Cancelado;15773416000110;Desativado - CDIP/SPM3;Não;Não;180;Cancelado;Não
RJT;TASK SISTEM DE COMPUTACAO S A;5789;SUPERINTENDENCIA ESTADUAL RJ  ;9912245789;Ativo;28708477000145;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SZE;TATUAPÉ SERVIÇOS DE DOCUMENTOS LTDA;1667;SUPERINTENDENCIA ESTADUAL SPM ;9912431667;Ativo;17836988000126;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Não
TA;(TA-779) TICKET SERVICOS S/A;779;SUPERINTENDENCIA ESTADUAL SPM ;9912247261;Ativo;47866934000174;Desativado - CDIP/SPM3;Não;Não;0;Ativo;Sim
TB;(TB-27) BANCO BRADESCO - T - S/A;27;SUPERINTENDENCIA ESTADUAL SPM ;9912232238;Ativo;60746948000112;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
DFQ;TCU;4998;SUPERINTENDENCIA ESTADUAL BSB ;9912434998;Ativo;00414607000118;Desativado CDIP/BSB2;Sim;Sim;0;Ativo;Não
SRI;TEC PARTICIPACOES SOCIETARIAS LTDA;9974;SUPERINTENDENCIA ESTADUAL SPI ;9912599741;Ativo;34719928000142;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SXS;TECSHARE;443;SUPERINTENDENCIA ESTADUAL SPM ;9912650443;Ativo;45706263000159;Desativado - CDIP/SPM3;Sim;Sim;30;Ativo;Não
EQ;TELEMACO BORBA PREFEITURA MUNICIPAL;9012;SUPERINTENDENCIA ESTADUAL PR  ;9912451984;Ativo;76170240000104;CDIP - Curitiba;Não;Sim;180;Ativo;Não
SRY;TEX COURIER SA;9222;SUPERINTENDENCIA ESTADUAL SPM ;9912299222;Ativo;73939449000940;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
SSY;THA THI FARM DE MANIPULACAO LTDA;724;SUPERINTENDENCIA ESTADUAL SPM ;9912380724;Ativo;06177615000174;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
ALL;THOMAS GREG E SONS;2382;SUPERINTENDENCIA ESTADUAL AL  ;9912452382;Ativo;03514896000115;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
RJX;TIM S A;8414;SUPERINTENDENCIA ESTADUAL RJ  ;9912558414;Ativo;02421421000111;Desativado - CDIP/SPM3;Não;Sim;180;Ativo;Sim
TJ;TJ - TRIBUNAL DE JUSTIÇA DE SC;930;SUPERINTENDENCIA ESTADUAL SC  ;9912239932;Ativo;83845701000159;Desativado - CDIP/FLN2;Não;Sim;180;Ativo;Sim
APJ;TJAP;8767;SUPERINTENDENCIA ESTADUAL AP  ;9912268767;Ativo;34870576000121;Desativado CDIP/BSB2;Sim;Sim;30;Ativo;Não
GOJ;TJ-GO;5916;SUPERINTENDENCIA ESTADUAL GO  ;9912488314;Ativo;02292266000180;Desativado CDIP/BSB2;Sim;Não;0;Ativo;Não
MIB;TJMG;7648;SUPERINTENDENCIA ESTADUAL MG  ;9912357648;Ativo;21154554000113;CDIP - Curitiba;Sim;Sim;30;Ativo;Sim
